-87.66672,42.00852
-87.6662,42.00853
-87.66618,42.00794
-87.66598,42.00796
-87.66575,42.00796
-87.66527,42.00796
-87.66503,42.00796
-87.66469,42.00796
-87.66445,42.00796
-87.66429,42.00797
-87.66372,42.00798
-87.66312,42.00799
-87.66303,42.00799
-87.66287,42.008
-87.66248,42.008
-87.66169,42.00801
-87.66128,42.0068
-87.66107,42.00613
-87.661,42.00594
-87.66096,42.00578
-87.66091,42.00555
-87.66089,42.00549
-87.66088,42.00542
-87.66085,42.00497
-87.66084,42.00469
-87.66083,42.00463
-87.66083,42.00454
-87.66082,42.00422
-87.66081,42.00369
-87.6608,42.00354
-87.66076,42.00283
-87.66076,42.00254
-87.66072,42.00154
-87.6607,42.00109
-87.66074,42.00103
-87.66074,42.00094
-87.66073,42.00078
-87.66073,42.00063
-87.66072,42.00056
-87.66067,42.0005
-87.66067,42.00041
-87.66067,42.00022
-87.66066,41.99997
-87.66068,41.99957
-87.66069,41.99909
-87.66074,41.99901
-87.66072,41.9988
-87.66067,41.99819
-87.66065,41.998
-87.66065,41.99797
-87.66055,41.99786
-87.66053,41.99774
-87.66052,41.99758
-87.66051,41.9975
-87.6605,41.99745
-87.6605,41.99731
-87.66048,41.99678
-87.66048,41.99668
-87.66048,41.99656
-87.66049,41.99637
-87.66049,41.99618
-87.66053,41.99613
-87.66052,41.99569
-87.66051,41.99548
-87.66051,41.99534
-87.66049,41.99473
-87.66049,41.99467
-87.66045,41.99463
-87.66045,41.99455
-87.6604,41.99413
-87.6604,41.99406
-87.6604,41.99394
-87.66039,41.99364
-87.66037,41.99331
-87.66037,41.99323
-87.66036,41.9929
-87.66035,41.99272
-87.66033,41.99234
-87.66032,41.99176
-87.66031,41.99092
-87.66029,41.99073
-87.66028,41.99044
-87.66027,41.99007
-87.66027,41.98975
-87.66026,41.98968
-87.66026,41.98959
-87.66025,41.98948
-87.66024,41.98901
-87.66022,41.98847
-87.66022,41.98838
-87.66021,41.98825
-87.6602,41.98803
-87.66018,41.98726
-87.66016,41.98694
-87.66014,41.98611
-87.66013,41.98577
-87.66013,41.98569
-87.66012,41.98546
-87.65966,41.98547
-87.65939,41.98547
-87.65931,41.98547
-87.65891,41.98547
-87.65877,41.98548
-87.65808,41.9855
-87.65735,41.98551
-87.65667,41.98553
-87.65597,41.98555
-87.65542,41.98556
-87.65525,41.98557
-87.65478,41.98556
-87.6542,41.98558
-87.65405,41.98557
-87.65389,41.98555
-87.65374,41.98552
-87.65366,41.9855
-87.65361,41.98548
-87.65356,41.9854
-87.65342,41.98532
-87.65335,41.98526
-87.6533,41.98522
-87.6532,41.98507
-87.65318,41.98503
-87.65315,41.98496
-87.65312,41.98485
-87.6531,41.9847
-87.65308,41.98391
-87.65308,41.98386
-87.65306,41.98313
-87.65306,41.98309
-87.653,41.98248
-87.65295,41.98219
-87.65287,41.98187
-87.65274,41.98141
-87.65264,41.98105
-87.65259,41.9809
